ExerciseID,Name,CollectionNumber,StarterCode,SampleSolution,ExerciseType,Points
1900,Fills and Borders Checkpoint 3,1.2.1.1,"# Draw a rectangle that creates a colorful background!
### (HINT: Remember to use the inspector to find properties of the shapes,
#          including the colors and borders!)
### (HINT: The corners of the Rect should be the corners of the Canvas.)
### Place Your Code Here ###
# Rect()

# Draw the three other Rects in the correct order to get the solution.
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Draw a rectangle that creates a colorful background!
Rect(0, 0, 400, 400, fill='lightSalmon')

# Draw the other Rects in the correct order.
Rect(40, 20, 160, 160, fill='dodgerBlue')
Rect(120, 100, 160, 200, fill='lightGreen')
Rect(200, 220, 160, 160, fill='dodgerBlue')
",regular,1
1902,Fix the flag of Chad,1.2.2,"# This code 'looks right', but it contains an error: the blue rectangle is too
# large! The autograder will not accept it until the blue rectangle is not
# overlapped by the yellow and red rectangles.
### Fix Your Code Here ###
Rect(50, 100, 300, 200, fill='blue')

# This correctly draws the yellow and red rectangles.
### (HINT: To see the problem using the canvas, try commenting the two lines of
#          code below using a '#' mark and running the code so that only the blue
#          rectangle is drawn. Be sure to uncomment the lines when you want to
#          draw the whole flag again!)
Rect(150, 100, 100, 200, fill='yellow')
Rect(250, 100, 100, 200, fill='red')
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# This code 'looks right', but it contains an error: the blue rectangle is too
# large! The autograder will not accept it until the blue rectangle is not
# overlapped by the yellow and red rectangles.
Rect(50, 100, 100, 200, fill='blue')

# This correctly draws the yellow and red rectangles.
Rect(150, 100, 100, 200, fill='yellow')
Rect(250, 100, 100, 200, fill='red')
",regular,1
1901,Flag of Mali,1.2.2,"# Draw the flag of Mali.
### (HINT: To draw the border, use a Rect with a fill of None and the Inspector
#          to find the borderWidth.)
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Draws the stripes of the flag.
Rect(50, 100, 100, 200, fill='forestGreen')
Rect(150, 100, 100, 200, fill='gold')
Rect(250, 100, 100, 200, fill='red')

# Draws the border around the flag on top of the stripes.
Rect(50, 100, 300, 200, fill=None, border='black', borderWidth=5)
",regular,1
1903,Flag of Ireland,1.2.2,"# Draw the flag of Ireland!
### (HINT: To draw the border, use Rect with a fill of None and the Inspector to
#          find the borderWidth.)
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Draw the flag of Ireland!
# Draws the stripes of the flag.
Rect(50, 100, 100, 200, fill='green')
Rect(250, 100, 100, 200, fill='orange')

# Draws the border around the flag on top of the stripes.
Rect(50, 100, 300, 200, fill=None, border='black', borderWidth=5)
",regular,1
1904,Flag of Sweden,1.2.2,"# Draw the flag of Sweden. Be sure to use the Inspector!
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Draw the flag of Sweden. Be sure to use the Inspector!
Rect(50, 100, 300, 200, fill='steelBlue')
Rect(50, 180, 300, 40, fill='gold')
Rect(140, 100, 40, 200, fill='gold')
",regular,2
1906,Colors and Gradients Checkpoint 4,1.2.3.1,"# Edit only the start values of these 4 rectangles so their gradients
# match the solution.
### Modify Your Code Here ###
Rect( 40, 50, 70, 70, fill=gradient('red', 'blue', start='left'))
Rect(125, 50, 70, 70, fill=gradient('red', 'blue', start='left'))
Rect(210, 50, 70, 70, fill=gradient('red', 'blue', start='left'))
Rect(295, 50, 70, 70, fill=gradient('red', 'blue', start='left'))
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

Rect( 40, 50, 70, 70, fill=gradient('red', 'blue', start='right-bottom'))
Rect(125, 50, 70, 70, fill=gradient('red', 'blue', start='top'))
Rect(210, 50, 70, 70, fill=gradient('red', 'blue', start='left-bottom'))
Rect(295, 50, 70, 70, fill=gradient('red', 'blue', start='right'))
",regular,1
1907,Colors and Gradients Checkpoint 5,1.2.3.1,"# Edit the gradients below to match the solution!
### Modify Your Code Here ###
Rect( 40, 50, 70, 70, fill=gradient('red', 'blue', start='left'))
Rect(125, 50, 70, 70, fill=gradient('red', 'blue', start='left'))
Rect(210, 50, 70, 70, fill=gradient('red', 'blue', start='left'))
Rect(295, 50, 70, 70, fill=gradient('red', 'blue', start='left'))
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

Rect( 40, 50, 70, 70, fill=gradient('hotPink', 'yellow', 'blue', start='left'))
Rect(125, 50, 70, 70, fill=gradient('red', 'yellow', 'hotPink', 'yellow', 'red',
                                    start='left-bottom'))
Rect(210, 50, 70, 70, fill=gradient('hotPink', 'blue', start='left-top'))
Rect(295, 50, 70, 70, fill=gradient('red', 'orange', 'yellow', 'blue'))
",regular,1
1905,Colors and Gradients Checkpoint 3,1.2.3.1,"# Edit the fill of this rectangle so it matches the red and yellow radial gradient
# in the solution.
### Modify Your Code Here ###
Rect(150, 150, 100, 100)
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

Rect(150, 150, 100, 100, fill=gradient('red', 'yellow'))
",regular,1
1908,Hazy sun,1.2.4,"# Draw the solution image.
### (HINT: There are only two rectangles in the solution and
#          both have gradients!)
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Draw the solution image.
# The top rectangle draws the sky and the sun.
Rect(0, 0, 400, 300, fill=gradient('gold', 'skyBlue', 'steelBlue'))

# The bottom rectangle draws the grass.
Rect(0, 300, 400, 100, fill=gradient('seaGreen', 'paleGreen', start='bottom'))
",regular,1
1909,Diamond pickaxe,1.2.4,"# Make the handle wood colored.
### Modify Your Code Here ###
Rect(125, 125, 75, 75)
Rect(200, 200, 75, 75)
Rect(275, 275, 75, 75)
Rect(50, 50, 40, 40)

# Give the pickaxe a diamond gradient!
### Modify Your Code Here ###
Rect(100, 50, 200, 40)
Rect(50, 100, 40, 200)
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Make the handle wood colored.
Rect(125, 125, 75, 75, fill=gradient('peru', 'maroon'))
Rect(200, 200, 75, 75, fill=gradient('peru', 'maroon'))
Rect(275, 275, 75, 75, fill=gradient('peru', 'maroon'))
Rect(50, 50, 40, 40, fill=gradient('peru', 'maroon'))

# Give the pickaxe a diamond gradient!
Rect(100, 50, 200, 40, fill=gradient('royalBlue', 'deepSkyBlue', 'dodgerBlue',
                                     start='top'))
Rect(50, 100, 40, 200, fill=gradient('royalBlue', 'deepSkyBlue', 'dodgerBlue',
                                     start='left'))
",regular,1
1910,Nine gradients,1.2.4,"# Here is some starter code: the following rectangles are in the right locations
# for the top row, but they still need gradient fills.
### Modify Your Code Here ###
Rect(25, 25, 100, 100, fill='blue')
Rect(150, 25, 100, 100, fill='blue')
Rect(275, 25, 100, 100, fill='blue')

# Here is the first of the three rectangles in the middle row.
### Modify & Place Your Code Here ###
Rect(25, 150, 100, 100, fill='blue')

# Here is the first of the three rectangles in the bottom row.
### Modify & Place Your Code Here ###
Rect(25, 275, 100, 100, fill='blue')
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Draw the top row.
Rect(25, 25, 100, 100, fill=gradient('red', 'yellow', start='left-top'))
Rect(150, 25, 100, 100, fill=gradient('red', 'yellow', start='top'))
Rect(275, 25, 100, 100, fill=gradient('red', 'yellow', start='right-top'))

# Draw the middle row.
Rect(25, 150, 100, 100, fill=gradient('red', 'yellow', start='left'))
Rect(150, 150, 100, 100, fill=gradient('red', 'yellow'))
Rect(275, 150, 100, 100, fill=gradient('red', 'yellow', start='right'))

# Draw the bottom row.
Rect(25, 275, 100, 100, fill=gradient('red', 'yellow', start='left-bottom'))
Rect(150, 275, 100, 100, fill=gradient('red', 'yellow', start='bottom'))
Rect(275, 275, 100, 100, fill=gradient('red', 'yellow', start='right-bottom'))
",regular,1
1911,Orange juice,1.2.4,"# Draw the background.
### Place Your Code Here ###

# Draw the glass and the orange juice.
### Place Your Code Here ###

# Draw the ice cubes.
### Place Your Code Here ###

# Draw the straw.
### (HINT: The straw uses 2 rectangles that only overlap on the edges.)
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Draw the background.
Rect(0, 0, 400, 400, fill=gradient('turquoise', 'paleTurquoise'))

# Draw the glass and the orange juice.
Rect(110, 100, 180, 250, fill='azure')
Rect(120, 150, 160, 190, fill=gradient('gold', 'yellow', start='bottom'))

# Draw the ice cubes.
Rect(130, 170, 40, 40, fill=rgb(255, 255, 200))
Rect(190, 200, 30, 30, fill=rgb(255, 255, 200))

# Draw the straw.
Rect(240, 60, 10, 270,
     fill=gradient('orange', 'orange', 'orange', 'red', start='bottom'))
Rect(240, 50, 50, 10, fill='red')
",regular,2
1913,Opacity Checkpoint 2,1.2.5.1,"# Draw the 5 Rects in the solution.
### (HINT: If you aren't sure what order the Rects should be in, try an ordering
#          and see if it looks right. If not, try another order!)
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Draw the 5 Rects in the solution.
# Draw the top left and bottom right Rects first, with an opacity.
Rect(0, 0, 200, 200, fill='lime', opacity=50)
Rect(200, 200, 200, 200, fill='aqua', opacity=50)

# Then draw the middle Rect with no opacity.
Rect(50, 50, 300, 300, fill='midnightBlue')

# Finally, draw the bottom left and top right Rects, again with opacity.
Rect(200, 0, 200, 200, fill='red', opacity=50)
Rect(0, 200, 200, 200, fill='deepPink', opacity=50)
",regular,1
1912,Opacity Checkpoint 1,1.2.5.1,"# Edit the opacity of the 4 blue rectangles so the drawing matches the solution.
### Modify Your Code Here ###
Rect( 20, 70, 360, 30, fill='yellow')
Rect( 40, 50, 70, 70, fill='blue')
Rect(125, 50, 70, 70, fill='blue')
Rect(210, 50, 70, 70, fill='blue')
Rect(295, 50, 70, 70, fill='blue')
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

Rect( 20, 70, 360, 30, fill='yellow')
Rect( 40, 50, 70, 70, fill='blue', opacity=50)
Rect(125, 50, 70, 70, fill='blue', opacity=75)
Rect(210, 50, 70, 70, fill='blue')
Rect(295, 50, 70, 70, fill='blue', opacity=25)
",regular,1
1914,Glasses,1.2.6,"# face
Rect(0, 0, 400, 400, fill='papayaWhip')

# eyes
Rect(55, 150, 80, 30)
Rect(265, 150, 80, 30)

# mouth
Rect(150, 300, 100, 10)
Rect(180, 320, 40, 20)

# Use 3 rectangles to draw the glasses.
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# face
Rect(0, 0, 400, 400, fill='papayaWhip')

# eyes
Rect(55, 150, 80, 30)
Rect(265, 150, 80, 30)

# mouth
Rect(150, 300, 100, 10)
Rect(180, 320, 40, 20)

# Use 3 rectangles to draw the glasses.
Rect(20, 130, 150, 100, fill='saddleBrown', border='maroon', opacity=60)
Rect(230, 130, 150, 100, fill='saddleBrown', border='maroon', opacity=60)
Rect(170, 175, 60, 10, fill='maroon')
",regular,1
1915,Opaque frame,1.2.6,"# four red rectangles
Rect(0, 0, 400, 50, fill='red', opacity=50)
Rect(0, 0, 50, 400, fill='red', opacity=50)
Rect(350, 0, 50, 400, fill='red', opacity=50)
Rect(0, 350, 400, 50, fill='red', opacity=50)

# Draw 4 blue rectangles on top of the red rectangles.
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# four red rectangles
Rect(0, 0, 400, 50, fill='red', opacity=50)
Rect(0, 0, 50, 400, fill='red', opacity=50)
Rect(350, 0, 50, 400, fill='red', opacity=50)
Rect(0, 350, 400, 50, fill='red', opacity=50)

# Draw 4 blue rectangles on top of the red rectangles.
Rect(0, 25, 400, 100, fill='blue', opacity=50)
Rect(25, 0, 100, 400, fill='blue', opacity=50)
Rect(275, 0, 100, 400, fill='blue', opacity=50)
Rect(0, 275, 400, 100, fill='blue', opacity=50)
",regular,1
1916,Stained glass window,1.2.6,"# background
Rect(0, 0, 400, 400, fill='deepSkyBlue')

# house
Rect(0, 275, 400, 125, fill='silver')
Rect(110, 70, 180, 205, fill='saddleBrown')
Rect(145, 105, 30, 40, fill='lightSkyBlue', border='black')
Rect(225, 105, 30, 40, fill='lightSkyBlue', border='black')
Rect(145, 165, 30, 40, fill='lightSkyBlue', border='black')
Rect(225, 165, 30, 40, fill='lightSkyBlue', border='black')
Rect(177, 215, 45, 60, fill='darkRed')
Rect(0, 0, 400, 400, fill=None, border='wheat', borderWidth=40)

# frame
Rect(40, 40, 320, 320, fill=None, border='black', borderWidth=10)

# Draw the stained glass window.
### (HINT: There should be nine rectangles.)
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# background
Rect(0, 0, 400, 400, fill='deepSkyBlue')

# house
Rect(0, 275, 400, 125, fill='silver')
Rect(110, 70, 180, 205, fill='saddleBrown')
Rect(145, 105, 30, 40, fill='lightSkyBlue', border='black')
Rect(225, 105, 30, 40, fill='lightSkyBlue', border='black')
Rect(145, 165, 30, 40, fill='lightSkyBlue', border='black')
Rect(225, 165, 30, 40, fill='lightSkyBlue', border='black')
Rect(177, 215, 45, 60, fill='darkRed')
Rect(0, 0, 400, 400, fill=None, border='wheat', borderWidth=40)

# frame
Rect(40, 40, 320, 320, fill=None, border='black', borderWidth=10)

# Draw the stained glass window.
Rect(50, 50, 100, 100, fill='red', border='black', opacity=50)
Rect(50, 150, 100, 100, fill='yellow', border='black', opacity=50)
Rect(150, 50, 100, 100, fill='yellow', border='black', opacity=50)
Rect(50, 250, 100, 100, fill='darkTurquoise', border='black', opacity=50)
Rect(150, 150, 100, 100, fill='darkTurquoise', border='black', opacity=50)
Rect(250, 50, 100, 100, fill='darkTurquoise', border='black', opacity=50)
Rect(150, 250, 100, 100, fill='dodgerBlue', border='black', opacity=50)
Rect(250, 150, 100, 100, fill='dodgerBlue', border='black', opacity=50)
Rect(250, 250, 100, 100, fill='blueViolet', border='black', opacity=50)
",regular,2
1917,"Rectangles, Ovals, Circles, and Lines Checkpoint 1",1.3.1.1,"# Without changing the green rectangle, move the
# gold oval so it is centered inside the rectangle.
### Modify Your Code Here ###
Rect(200, 200, 150, 50, fill='green')
Oval(200, 200, 150, 50, fill='gold')
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

Rect(200, 200, 150, 50, fill='green')
Oval(275, 225, 150, 50, fill='gold')
",regular,1
1918,"Rectangles, Ovals, Circles, and Lines Checkpoint 2",1.3.1.1,"# Draw the oval that fills the left half of the canvas from top to bottom.
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

Oval(100, 200, 200, 400, fill=gradient('blue', 'cyan'), border='black',
     borderWidth=5)
",regular,1
1919,"Rectangles, Ovals, Circles, and Lines Checkpoint 4",1.3.1.1,"# Draw a 300x300 navy square centered at (200, 200) and a cyan circle
# centered inside that square with a radius that just fills the square.
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

Rect(50, 50, 300, 300, fill='navy')
Circle(200, 200, 150, fill='cyan')
",regular,1
1920,"Rectangles, Ovals, Circles, and Lines Checkpoint 5",1.3.1.1,"Oval(200, 200, 300, 100, fill='orange')

### (HINT: Use the inspector to find the lineWidth!)
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

Oval(200, 200, 300, 100, fill='orange')
Line(50, 200, 200, 150, lineWidth=10)
",regular,1
1923,Midnight sky,1.3.2,"# background
Rect(0, 0, 400, 400)

# Draw the rest of the night sky!
### (HINT: The rings of Saturn are drawn using a circle with a fill of None and
#          a border!)
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# background
Rect(0, 0, 400, 400)

# saturn with rings
Circle(50, 50, 35, fill=None, border='white', opacity=30)
Circle(50, 50, 30, fill=gradient('peru', 'wheat'))

# venus
Circle(150, 100, 25, fill=gradient('crimson', 'lightSalmon', start='left-bottom'),
       opacity=70)

# shooting star
Line(100, 200, 275, 125, fill=gradient('black', 'white', start='right'),
     lineWidth=3)

# moon
Circle(250, 250, 60, fill=gradient('black', 'grey', start='left'))

# clouds
Oval(150, 275, 100, 50, fill=gradient('black', 'grey', start='left'), opacity=90)
Oval(125, 300, 100, 50, fill=gradient('black', 'grey', start='left'), opacity=90)
Oval(200, 300, 100, 50, fill=gradient('black', 'grey', start='right'), opacity=90)
",regular,2
1925,Cube,1.3.2,"# front face of the cube
Rect(70, 150, 200, 200, fill=None, border='limeGreen')

# Draw the rest of the cube using lines.
### (HINT: The gradients use a start of left or right.)
### (HINT: Use dashes to add depth to the cube and distinguish the 'back' of the
#          cube from the 'front'.)
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# front face of the cube
Rect(70, 150, 200, 200, fill=None, border='limeGreen')

# Draw the rest of the cube using lines.
Line(130, 70, 330, 70, fill='darkViolet')
Line(330, 70, 330, 270, fill='darkViolet')
Line(70, 150, 130, 70, fill=gradient('limeGreen', 'darkViolet', start='left'))
Line(270, 350, 330, 270, fill=gradient('limeGreen', 'darkViolet', start='left'))
Line(270, 150, 330, 70, fill=gradient('limeGreen', 'darkViolet', start='left'))

# Use dashes to distinguish the back part of the cube from the front.
Line(70, 350, 130, 270, fill=gradient('limeGreen', 'darkViolet', start='left'),
     dashes=True)
Line(130, 270, 330, 270, fill='darkViolet', dashes=True)
Line(130, 270, 130, 70, fill='darkViolet', dashes=True)
",regular,2
1924,Sunny road,1.3.2,"# sky
Rect(0, 0, 400, 250, fill=gradient('deepSkyBlue', 'lightSkyBlue', start='top'))

# grass
Rect(0, 250, 400, 150, fill=gradient('lawnGreen', 'green', 'lawnGreen',
                                     'lawnGreen', 'green', start='top'))

# The center line in the road is missing. Add it in!
Rect(0, 275, 400, 100, fill=gradient('darkGray', 'dimGray', start='top'))
### (HINT: The road divider should be a dashed line.)
### Place Your Code Here ###

# car 1
Rect(20, 270, 70, 30, fill=gradient('crimson', 'darkRed', start='top'))
Rect(30, 250, 50, 20, fill=gradient('red', 'crimson', start='top'))
Circle(35, 300, 10)
Circle(75, 300, 10)

# car 2
Rect(300, 330, 70, 30, fill=gradient('darkOrange', 'orangeRed', start='top'))
Rect(310, 310, 50, 20, fill=gradient('orange', 'darkOrange', start='top'))
Circle(315, 360, 10)
Circle(355, 360, 10)

# Fix the rays of the sun so that they are dashed.
### Fix Your Code Here ###
Circle(0, 0, 70, fill=gradient('orange', 'yellow'))
Line(10, 75, 10, 155, fill=gradient('yellow',  'skyBlue', start='top'),
     lineWidth=5)
Line(35, 70, 75, 140, fill=gradient('yellow',  'skyBlue', start='top'),
     lineWidth=5)
Line(55, 55, 125, 100, fill=gradient('yellow',  'skyBlue', start='top'),
     lineWidth=5)
Line(70, 30, 145, 50, fill=gradient('yellow',  'skyBlue', start='top'),
     lineWidth=5)
Line(75, 5, 155, 5, fill=gradient('yellow',  'skyBlue', start='top'),
     lineWidth=5)
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# sky
Rect(0, 0, 400, 250, fill=gradient('deepSkyBlue', 'lightSkyBlue', start='top'))

# grass
Rect(0, 250, 400, 150, fill=gradient('lawnGreen', 'green', 'lawnGreen',
                                     'lawnGreen', 'green', start='top'))

# The center line in the road is missing. Add it in!
Rect(0, 275, 400, 100, fill=gradient('darkGray', 'dimGray', start='top'))
Line(0, 325, 400, 325, fill='white', lineWidth=3, dashes=True)

# car 1
Rect(20, 270, 70, 30, fill=gradient('crimson', 'darkRed', start='top'))
Rect(30, 250, 50, 20, fill=gradient('red', 'crimson', start='top'))
Circle(35, 300, 10)
Circle(75, 300, 10)

# car 2
Rect(300, 330, 70, 30, fill=gradient('darkOrange', 'orangeRed', start='top'))
Rect(310, 310, 50, 20, fill=gradient('orange', 'darkOrange', start='top'))
Circle(315, 360, 10)
Circle(355, 360, 10)

# Fix the rays of the sun so that they are dashed.
Circle(0, 0, 70, fill=gradient('orange', 'yellow'))
Line(10, 75, 10, 155, fill=gradient('yellow',  'skyBlue', start='top'),
     lineWidth=5, dashes=True)
Line(35, 70, 75, 140, fill=gradient('yellow',  'skyBlue', start='top'),
     lineWidth=5, dashes=True)
Line(55, 55, 125, 100, fill=gradient('yellow',  'skyBlue', start='top'),
     lineWidth=5, dashes=True)
Line(70, 30, 145, 50, fill=gradient('yellow',  'skyBlue', start='top'),
     lineWidth=5, dashes=True)
Line(75, 5, 155, 5, fill=gradient('yellow',  'skyBlue', start='top'),
     lineWidth=5, dashes=True)
",regular,1
1921,Rainbow!,1.3.2,"# This background is given to you.
Rect(0, 0, 400, 400, fill='lightSkyBlue')

# Draw the rainbow using circles and gradients.
### Place Your Code Here ###

# Now draw grass that covers the bottom half of the circles.
### Place Your Code Here ###
","# Carnegie Mellon University Computer Science Academy
# This file is private and provided only to teachers.
# Do not share, post, or otherwise make this file public.

# Change the background.
Rect(0, 0, 400, 400, fill='lightSkyBlue')

# Draw the rainbow using circles and gradients.
Circle(200, 300, 200, fill=gradient('white', 'red', 'white', start='top'))
Circle(200, 300, 170, fill=gradient('white', 'orange', 'white', start='top'))
Circle(200, 300, 140, fill=gradient('white', 'yellow', 'white', start='top'))
Circle(200, 300, 110, fill=gradient('white', 'green', 'white', start='top'))
Circle(200, 300, 80, fill=gradient('white', 'blue', 'white', start='top'))
Circle(200, 300, 50, fill=gradient('white', 'indigo', 'white', start='top'))
Circle(200, 300, 20, fill=gradient('white', 'violet', 'white', start='top'))

# Now draw grass that covers the bottom half of the circles.
Rect(0, 300, 400, 100, fill=gradient('limeGreen', 'forestGreen', start='top'))
",regular,1
